,,,,,
ATURAN KEUANGAN DALAM EKOSISTEM,,,,,
SKEMA TUGAS BESAR MATA KULIAH RPL 2,,,,,
Dosen,"M. Yusril Helmi Setyawan, S.Kom., M.Kom.",,,,
,,,,,
No,Aturan,Nilai,Deskripsi,Tujuan Ekonomi,Penjelasan
1,Total Money Supply,"1,000,000,000",Batas maksimal uang dalam sistem,Menjaga stabilitas ekonomi,"Menjaga agar sistem tidak terlalu cepat naik (inflasi) atau turun (deflasi), sehingga transaksi berjalan seimbang."
2,Saldo Awal Mahasiswa,"50,000",Saldo awal tiap user,Mencegah lonjakan transaksi awal,Menghindari kondisi semua user langsung bertransaksi besar di awal yang bisa membuat sistem tidak terkendali.
3,Distribusi Awal ke User,≤ 2% dari total supply,Sebagian kecil uang beredar di awal,Kontrol likuiditas awal,Mengatur jumlah uang yang langsung beredar di awal agar tidak terlalu banyak atau terlalu sedikit.
4,Bank Reserve,≥ 98%,Sisa uang disimpan di SmartBank,Kontrol supply & loan,Mengendalikan jumlah uang yang tersedia dan jumlah pinjaman agar tidak terjadi kelebihan uang.
5,Fee Marketplace,2%,Dipotong dari transaksi penjualan,Revenue marketplace + money sink,Marketplace mendapat keuntungan dari fee sekaligus mengurangi uang beredar (money sink).
6,Fee POS,1%,Biaya transaksi kasir,Kontrol transaksi kecil,Membatasi atau memberi biaya pada transaksi kecil agar tidak terjadi spam transaksi
7,Fee Supplier,3%,Margin supplier,Simulasi supply chain,Meniru alur nyata dari supplier → produksi → penjualan → distribusi
8,Biaya Logistik,"5% atau flat 5,000",Biaya pengiriman,Cost driver,Menambahkan biaya (misal logistik) agar transaksi tidak gratis dan lebih realistis
9,Fee Bank,1%,Biaya transaksi SmartBank,Menambah reserve,Menyimpan sebagian uang di bank sebagai cadangan untuk menjaga kestabilan sistem
10,Fee Gateway,0.5%,Dipotong dari setiap transaksi via API,Biaya infrastruktur,Mensimulasikan biaya sistem seperti server/gateway agar mahasiswa paham sistem tidak gratis
11,Pajak Sistem,2%,Potongan tambahan transaksi,Money sink (anti inflasi),Mengurangi jumlah uang beredar melalui pajak atau fee untuk menahan inflasi
12,UMKM Insight Subscription,"10,000/minggu",Biaya akses analytics,Simulasi SaaS model,Meniru model bisnis berbasis langganan seperti UMKM Insight (berbayar)
13,Bunga Pinjaman,10%,Bunga loan dari bank,Kontrol ekspansi uang,Membatasi pertumbuhan jumlah uang agar tidak terlalu cepat meningkat
14,Limit Pinjaman,"100,000/user",Batas maksimal pinjaman,Mencegah over-credit,Membatasi pinjaman agar user tidak berhutang berlebihan
15,Cooldown Transaksi,10–30 detik,Jeda antar transaksi,Kontrol velocity,Mengatur kecepatan uang berpindah (misal dengan delay transaksi)
16,Max Transaksi Harian,10 transaksi,Batas aktivitas,Kontrol peredaran uang,Menjaga agar uang tidak terlalu cepat beredar atau terlalu lama diam
17,Stimulus Bank,"5,000/minggu (opsional)",Insentif ekonomi,Cegah deflasi,Menjaga agar ekonomi tidak lesu akibat kurangnya transaksi
18,Distribusi Uang Bertahap,Mingguan,Penambahan uang terkontrol,Menjaga siklus ekonomi,Memastikan alur ekonomi terus berjalan: beli → jual → produksi → distribusi
,,,,,
,,,,,
,,,,Terminologi dasar,
,,,,Inflasi,Kondisi ketika harga barang naik karena jumlah uang beredar terlalu banyak dibanding barang yang tersedia.
,,,,deflasi,Kondisi ketika aktivitas ekonomi menurun karena uang beredar terlalu sedikit atau jarang digunakan.
,,,,Revenue,"Pendapatan yang diperoleh sistem/aplikasi dari fee, biaya layanan, atau transaksi."
,,,,Money Sink,Mekanisme yang “menghilangkan” uang dari peredaran (misal pajak/fee) untuk mengontrol inflasi.
,,,,Velocity (of money),Kecepatan perputaran uang dalam sistem (seberapa sering uang berpindah antar user).
,,,,Reserve,"Uang cadangan yang disimpan di bank dan tidak langsung beredar, digunakan untuk menjaga stabilitas."
,,,,loan,Pinjaman uang dari bank kepada user yang harus dikembalikan dengan bunga
,,,,likuiditas,Ketersediaan uang yang siap digunakan untuk transaksi pada suatu waktu
